µÎ¸®,at:1;1;1|gu:0|es:0|rn:|wa:0;0;0;0;0;0;0;,,1,2,1,1,1,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
ÄÉÀÌºñ,at:1;1;1|gu:0|es:0|rn:|wa:0;0;0;0;0;0;0;,,2,112,1,1,1,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
ÄíÄí¸£,at:1;1;1|gu:0|es:0|rn:|wa:0;0;0;0;0;0;0;,,3,102,1,1,1,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
¿ÀÅõÅõ,at:1;1;1|gu:0|es:0|rn:|wa:0;0;0;0;0;0;0;,,4,34,1,1,1,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
¿ì¸®,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,9,1,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
µÎ¸®,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,10,2,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
¾ó·è¿ì¸®,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,11,3,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
ºÒ±×¸®,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,12,4,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
ºÎºñ,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,13,11,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
°ñµåºÎºñ,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,14,12,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
ºÎÀÌ,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,15,13,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
ºÎÀÌºñ,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,16,14,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
¾ó·èºÎÀÌºñ,at:10;1;1|gu:2|es:1|wa:0;0;0;0;0;0;0;,,17,15,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
²¿¹Ì,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,21,21,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
²¿ºñ,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,25,22,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
²¿ºñ¿À,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,26,23,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
²¿²¿ºñ,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,27,24,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
ÇªÇª,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,28,31,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
¿ìÇª,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,29,32,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
ÅõÅõ,at:10;1;1|gu:1|es:1|wa:0;0;0;0;0;0;0;,,30,33,1,1,3,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
